NW_022145603.1,4626615,4626663
NW_022145614.1,25164403,25164479
NW_022145614.1,25171657,25171722
NW_022145614.1,25166288,25166336
NW_022145614.1,25177504,25177567
NW_022145614.1,25197272,25197334
NW_022145614.1,25201878,25201928
NW_022145614.1,25177767,25177826
NW_022145614.1,25170360,25170422
NW_022145614.1,25176712,25176769
NW_022145614.1,25193956,25194044
NW_022145614.1,25177636,25177689
NW_022145614.1,25171657,25171722
NW_022145614.1,25197363,25197418
NW_022145614.1,25193871,25193923
NW_022145614.1,25194100,25194155
NW_022145614.1,25220530,25220587
NW_022145614.1,25230972,25231021
NW_022145614.1,25230642,25230706
NW_022145601.1,1418087,1418145
NW_022145607.1,4027863,4027913
NW_022145613.1,29225775,29225835
NW_022145613.1,1031219,1031275
NW_022145580.1,748308,748339
NW_022145613.1,38285130,38285188
NW_022145610.1,10896801,10896863
NW_022145611.1,11673761,11673825
NW_022145612.1,42207363,42207422
NW_022145565.1,491472,491527
NW_022145612.1,13445793,13445843
NW_022145612.1,13451342,13451387
NW_022145606.1,47577,47621
NW_022145610.1,19376611,19376667
NW_022145611.1,18767254,18767310
NW_022145613.1,1262357,1262411
NW_022145600.1,6141253,6141304
NW_022145600.1,6144290,6144346
NW_022145612.1,28377988,28378044
NW_022145612.1,27974224,27974279
NW_022145600.1,2314815,2314878
NW_022145611.1,39197500,39197559
NW_022145607.1,22191766,22191820
NW_022145613.1,38095009,38095045
NW_022145615.1,1192561,1192622
NW_022145609.1,18996439,18996495
NW_022145612.1,9421699,9421755
NW_022145603.1,8556311,8556462
NW_022145596.1,19415066,19415127
NW_022145602.1,15332799,15332860
NW_022145600.1,32950503,32950576
NW_022145596.1,1922911,1922985
NW_022145615.1,454514,454587
NW_022145615.1,6087336,6087391
NW_022145605.1,36532856,36532920
NW_022145615.1,22354649,22354721
NW_022145610.1,13820467,13820538
NW_022145614.1,6841901,6841957
NW_022145612.1,17917588,17917645
NW_022145601.1,13162536,13162602
NW_022145601.1,13659205,13659271
NW_022145602.1,17707616,17707672
NW_022145610.1,32756046,32756121
NW_022145601.1,15949096,15949166
NW_022145597.1,32469112,32469168
NW_022145596.1,2571417,2571484
NW_022145615.1,1990105,1990157
NW_022145596.1,13040492,13040547
NW_022145610.1,21597677,21597732
NW_022145610.1,21598346,21598398
NW_022145610.1,21603174,21603259
NW_022145610.1,21609888,21609947
NW_022145610.1,21598170,21598229
NW_022145610.1,21609979,21610048
NW_022145610.1,21620418,21620466
NW_022145596.1,30367529,30367598
NW_022145609.1,28076206,28076273
NW_022145609.1,28065281,28065345
NW_022145609.1,28076207,28076274
NW_022145609.1,28088517,28088568
NW_022145609.1,28076206,28076273
NW_022145609.1,28065281,28065345
